jpg,No,ユニット名,レア,BP,属性,HP,攻撃,防御,速度,総合,スキル,スキル説明,UF,UF説明,タクティクス1,タクティクス1説明,タクティクス2,タクティクス2説明,特性,サポート効果
1490.jpg,1490,アーデルハイド,UR,14,突,"21,885","5,526","6,706",SS+,"34,117",蒼突の神威,味方突属性の攻撃力をUP[特大],-,　,バーサク／真,強襲が発生無効、バトル時に攻・防中UP(3分間),-,　,-,-
1491.jpg,1491,フォルテ,UR,14,遠,"18,045","6,298","6,477",S+,"30,820",暗闇の言霊／煌,一定確率で敵を暗闇状態にする[超高確率],-,　,ジャガーノート／絶,バトルで敵を全滅するとBPが大回復(バトル3回),-,　,-,-
1492.jpg,1492,フェルゼン,SSR,13,斬,"15,700","7,227","5,347",A+,"28,274",猛毒の言霊／絶,一定確率で敵を猛毒状態にする[高確率],-,　,ヒール／真斬紅,斬属性の生存ユニットのHPを高確率で全回復,-,　,-,-
1494.jpg,1494,アラム,SSR,13,斬,"16,877","7,758","4,760",A+,"29,395",地魔幻の閃光／絶,縦一列に攻撃[大]自分の防御力UP[大],-,　,アクセラレーター／真,パーティ全体の速度が中UP(3分間),-,　,-,-
1496.jpg,1496,ユーリ,SSR,12,斬,"14,922","6,862","4,893",A+,"26,677",覇道,自分の攻撃力をUP[大],-,　,フォースオブウィッシュ／真,騎士団全員のBPを中回復,-,　,-,-
1497.jpg,1497,ユーリ,UR,14,斬,"17,283","7,955","6,309",S,"31,547",焔幻の一閃／煌,横一列に攻撃[特大],-,　,エース／絶,パーティ全体の攻・防が大UP(3分間),-,　,-,-
1499.jpg,1499,ユリアナ,SSR,13,斬,"14,544","7,679","5,536",A+,"27,759",斬紅の聖護,味方斬属性の防御力をUP[大],-,　,アサルトオーダー,騎士団全体の攻撃力が小UP(3分間),-,　,-,-
1501.jpg,1501,フィーナ,UR,14,遠,"19,187","6,697","5,782",S+,"31,666",幻瞑の包囲陣／煌,敵全体に攻撃[特大],-,　,フォートレス／絶,パーティ全体の防御力が大UP(3分間),-,　,-,-
1503.jpg,1503,ヴェルナー,SSR,13,遠,"16,320","6,709","4,685",S-,"27,714",天焔幻の一閃／絶,横一列攻撃[大]自分の攻撃力UP[大],-,　,カーズ,対戦騎士団全体のスキル発動率が小DOWN(3分間),-,　,-,-
1505.jpg,1505,ジゼル,UR,14,突,"22,006","5,557","6,672",SS+,"34,235",対紫の薙風／煌,打に強く遠に弱い横一列攻撃[特大],-,　,バーサク／真,強襲が発生無効、バトル時に攻・防中UP(3分間),-,　,-,-
1507.jpg,1507,アーデルハイド,SSR,12,突,"15,636","5,346","5,656",SS-,"26,638",魔幻の閃光／絶,縦一列に攻撃[大],-,　,ジャガーノート／真,バトルで敵を全滅するとBPが中回復(バトル3回),-,　,-,-
1508.jpg,1508,アーデルハイド,SSR,13,突,"15,954","5,453","6,414",SS-,"27,821",魔幻の閃光／絶,縦一列に攻撃[大],-,　,ジャガーノート／真,バトルで敵を全滅するとBPが中回復(バトル3回),-,　,-,-
1509.jpg,1509,アーデルハイド,UR,14,突,"17,582","6,035","7,517",SS+,"31,134",魔幻の閃光／煌,縦一列に攻撃[特大],-,　,ジャガーノート／絶,バトルで敵を全滅するとBPが大回復(バトル3回),-,　,-,-
1510.jpg,1510,主人公,SSR,0,斬,"13,997","6,430","5,202",A+,"25,629",幻氷の縦十字／絶,十字型に攻撃[大],-,　,フォースオブウィッシュ／絶,騎士団全員のBPを大回復,-,　,-,-
1512.jpg,1512,リリアン,SSR,13,斬,"16,427","7,556","5,107",A+,"29,090",地魔幻の閃光／絶,縦一列に攻撃[大]自分の防御力UP[大],-,　,シャドウ,バトル時の強襲CB率が小UP(3分間),-,　,-,-
1514.jpg,1514,シリル,SSR,13,突,"18,377","5,479","5,824",SS-,"29,680",地幻神の四連撃／真,ランダム4連続攻撃[中]自分の防御力UP[中],-,　,エース／真,パーティ全体の攻・防が中UP(3分間),-,　,-,-
1516.jpg,1516,イネス,UR,14,打,"22,954","6,559","8,597",A+,"38,110",紫打の神威,味方打属性の攻撃力をUP[特大],-,　,ポイントライズ／絶,獲得する騎士団戦スコアが大アップ(バトル3回),-,　,-,-
1518.jpg,1518,テオ,SSR,13,遠,"17,214","6,012","4,952",S-,"28,178",光芒の加護 ,味方全体の防御力をUP[中],-,　,アクセラレーター／真,パーティ全体の速度が中UP(3分間),-,　,-,-
1519.jpg,1519,シャンタル,SSR,13,突,"17,692","5,608","5,392",SS1,"28,692",叡智消滅／光芒,敵全体の攻撃力と防御力をDOWN[中],-,　,ランページ,バトルで獲得する騎士団戦スコアが小アップ(3分間),-,　,-,-
1521.jpg,1521,ラム,SSR,13,打,"19,365","5,140","7,733",A-,"32,238",焔幻の一閃／絶,横一列に攻撃[大],-,　,フォートレス／真,パーティ全体の防御力が中UP(3分間),-,　,-,-
1526.jpg,1526,ヴィオレ,SSR,13,斬,"15,184","6,980","5,868",A+,"28,032",天雷幻の一撃／絶,敵単体攻撃[大]自分の攻撃力UP[大],-,　,ハイド／真,攻撃される確率が中DOWN(3分間),-,　,-,-
1528.jpg,1528,バルザック,SSR,13,斬,"16,513","7,596","5,087",A+,"29,196",対蒼の薙風／絶,突に強く斬に弱い横一列攻撃[大],-,　,ステルス／真,強襲CBの発生確率・強襲時獲得ポイント中UP(3回),-,　,-,-
1530.jpg,1530,ソニア,SSR,13,突,"19,467","5,791","5,246",SS-,"30,504",対蒼の突風／絶,突に強く斬に弱い縦一列攻撃[大],-,　,アサルト／真,パーティ全体の攻撃力が中UP(3分間),-,　,-,-
1532.jpg,1532,ディクセン,SSR,13,打,"18,758","5,646","7,754",A-,"32,158",地焔幻の一閃／絶,横一列攻撃[大]自分の防御力UP[大],-,　,フォートレスオーダー,騎士団全体の防御力が小UP(3分間),-,　,-,-
1534.jpg,1534,ルナ,UR,14,遠,"18,670","6,513","5,930",S+,"31,113",対翠の交叉線／煌,遠に強く打に弱いX字型攻撃[特大],-,　,オラクル／絶,パーティ全体のスキル発動率が大UP(3分間),-,　,-,-
1535.jpg,1535,ベルナデッタ,UR,14,突,"19,849","5,907","7,020",SS+,"32,776",解除の一撃／絶,単体固定ダメージ[大]+敵ステータスUP解除,-,　,ランページ／絶,バトルで獲得する騎士団戦スコアが大アップ(3分間),-,　,-,-
1536.jpg,1536,ノエル,SSR,13,斬,"17,263","6,931","5,319",A+,"29,513",覇道,自分の攻撃力をUP[大],-,　,リザレクション／真,中確率でパーティ全員を復帰(全滅時のみ使用可),-,　,-,-
1538.jpg,1538,ルーカン,SSR,13,突,"17,682","5,595","5,402",SS1,"28,679",幻神の五連撃／真,ランダムで5連続攻撃[中],-,　,アサルト／真,パーティ全体の攻撃力が中UP(3分間),-,　,-,-
1539.jpg,1539,ジャクリーン,UR,14,遠,"19,397","6,770","5,722",S+,"31,889",浄化の一撃／真,単体固定ダメージ[中]+味方ステータスDOWN解除,-,　,アクセラレーター／絶,パーティ全体の速度が大UP(3分間),-,　,-,-
1542.jpg,1542,アルマ,SSR,13,打,"18,911","5,642","7,758",A-,"32,311",沈黙の言霊／絶,一定確率で敵を沈黙状態にする[高確率],-,　,カウンター／真,迎撃時にパーティ全体の攻・防が中UP(3分間),-,　,-,-
1544.jpg,1544,セネト,UR,14,斬,"17,218","7,906","6,335",S,"31,459",対紫の薙風／煌,打に強く遠に弱い横一列攻撃[特大],-,　,ジャガーノート／絶,バトルで敵を全滅するとBPが大回復(バトル3回),-,　,-,-
1546.jpg,1546,アナベル,SSR,13,突,"19,044","5,126","6,032",SS-,"30,202",蒼突の聖護 ,味方突属性の防御力をUP[大],-,　,リヴァイブ／絶,高確率で戦闘不能ユニットを復帰,-,　,-,-
1548.jpg,1548,グレンデル,SSR,13,打,"18,839","6,279","6,728",A-,"31,846",天焔幻の一閃／絶,横一列攻撃[大]自分の攻撃力UP[大],-,　,バーサク,強襲が発生無効、バトル時に攻・防小UP(3分間),-,　,-,-
1550.jpg,1550,ロベリア,SSR,13,遠,"17,109","6,336","4,449",SS-,"27,894",遠翠の略奪／絶,敵単体に攻撃しつつHP回復[大],-,　,ランページ／真,バトルで獲得する騎士団戦スコアが中アップ(3分間),-,　,-,-
1552.jpg,1552,パメラ,SSR,13,斬,"15,891","7,296","5,042",A+,"28,229",焔幻の一閃／絶,横一列に攻撃[大],-,　,プロヴォーク／絶,攻撃される確率が大UP(3分間),-,　,-,-
1553.jpg,1553,バルカス,SSR,12,打,"19,170","5,061","6,845",A-,"31,076",蒼突の叛逆／絶 ,攻撃をカウンター[高確率],-,　,リザレクション／真,中確率でパーティ全員を復帰(全滅時のみ使用可),-,　,-,-
1555.jpg,1555,ジム,SSR,13,斬,"17,745","6,985","5,270",A+,"30,000",斬紅の聖天,味方斬属性の攻撃力と防御力をUP[大],-,　,ジャガーノート／真,バトルで敵を全滅するとBPが中回復(バトル3回),-,　,-,-
1557.jpg,1557,マリユス,UR,14,斬,"15,969","8,426","6,542",S,"30,937",幻氷の縦十字／煌,十字型に攻撃[特大],-,　,アサルト／絶,パーティ全体の攻撃力が大UP(3分間),-,　,-,-
1559.jpg,1559,デフロット,SSR,13,突,"16,502","5,904","6,049",SS-,"28,455",地幻神の五連撃,ランダム5連続攻撃[小]自分の防御力UP[小],-,　,アサルトオーダー,騎士団全体の攻撃力が小UP(3分間),-,　,-,-
1561.jpg,1561,ノンノリア,UR,14,遠,"19,444","6,802","5,703",S+,"31,949",遠翠の神護,味方遠属性の防御力をUP[特大],-,　,シャドウオーダー,騎士団全体の強襲CB率が小UP(3分間),-,　,-,-
1563.jpg,1563,リヴァイ,SSR,12,突,"14,947","5,244","5,545",SS-,"25,736",癒やしの光／絶,最もダメージが多い味方1人のHP回復[大],-,　,フォースオブウィッシュ／真,騎士団全員のBPを中回復,-,　,-,-
1564.jpg,1564,リヴァイ,UR,14,突,"18,310","6,437","6,784",SS+,"31,531",対紫の突風／煌,打に強く遠に弱い縦一列攻撃[特大],-,　,ランページ／絶,バトルで獲得する騎士団戦スコアが大アップ(3分間),-,　,-,-
1566.jpg,1566,エレン,UR,14,打,"20,729","6,810","9,057",A+,"36,596",幻の交叉線／煌,X字型攻撃[大]自分の攻撃力UP[特大],-,　,ポイントライズ／絶,獲得する騎士団戦スコアが大アップ(バトル3回),-,　,-,-
1568.jpg,1568,ミカサ,UR,14,斬,"16,670","8,102","5,878",SS,"30,650",焔幻の一閃／煌,横一列に攻撃[特大],-,　,アクセラレーター／絶,パーティ全体の速度が大UP(3分間),-,　,-,-
1570.jpg,1570,アルミン,UR,14,遠,"19,574","5,941","6,183",S+,"31,698",天使の微笑／絶,味方全員のHPを回復[大],-,　,ハイド／絶,攻撃される確率が大DOWN(3分間),-,　,-,-
1572.jpg,1572,エルヴィン,SSR,13,打,"19,727","5,693","7,043",A-,"32,463",打鋭の四連星,ﾗﾝﾀﾞﾑで1～4連撃。攻撃毎に与ﾀﾞﾒ2倍[低確率],-,　,エース／真,パーティ全体の攻・防が中UP(3分間),-,　,-,-
1574.jpg,1574,サシャ,SSR,12,打,"19,602","5,221","5,937",A-,"30,760",強奪者の雷／絶,単体攻撃（宝箱優先／追加ダメージ）[大],-,　,フォートレス／真,パーティ全体の防御力が中UP(3分間),-,　,-,-
1576.jpg,1576,ハンジ,SSR,13,遠,"17,039","7,006","4,480",S-,"28,525",聖天消滅／紫打,敵打属性の攻撃力と防御力をDOWN[大],-,　,エースオーダー,騎士団全体の攻・防が小UP(3分間),-,　,-,-
1579.jpg,1579,ヴィクトー,SSR,13,遠,"16,871","6,980","4,517",S-,"28,368",遠翠の略奪／絶,敵単体に攻撃しつつHP回復[大],-,　,ジャガーノート／真,バトルで敵を全滅するとBPが中回復(バトル3回),-,　,-,-
1581.jpg,1581,アンジェリカ,SSR,13,斬,"14,835","7,844","5,405",A+,"28,084",斬紅の聖護,味方斬属性の防御力をUP[大],-,　,ジャガーノート／真,バトルで敵を全滅するとBPが中回復(バトル3回),-,　,-,-
1583.jpg,1583,ウェインライト,UR,14,突,"19,957","5,940","6,984",SS+,"32,881",魔幻の閃光／絶,縦一列に攻撃[大],-,　,エース／絶,パーティ全体の攻・防が大UP(3分間),-,　,-,-
1585.jpg,1585,アデル,UR,14,打,"23,967","6,852","7,855",A+,"38,674",神護 ,自分の防御力をUP[特大],-,　,カウンター／絶,迎撃時にパーティ全体の攻・防が大UP(3分間),-,　,-,-
1585_a.jpg,1585_a,アデル,UR,14,打,31149,9246,10207,SS-,"50,602",神護＋,自分の防御力をUP[超極大],-,　,カウンター／絶,迎撃時にパーティ全体の攻・防が大UP(3分間),-,　,-,-
1585_b.jpg,1585_b,アデル,UR,14,打,29952,8910,9829,SS-,"48,691",神護,自分の防御力をUP[特大],-,　,贖罪の聖者,迎撃時にパーティ全体の攻・防が極大UP(5分間),-,　,-,-
1587.jpg,1587,フリーダ,SSR,13,遠,"18,813","5,716","4,964",S-,"29,493",夢限の息吹／真,味方1体を蘇生[HP中],-,　,オラクル／真,パーティ全体のスキル発動率が中UP(3分間),-,　,-,-
1589.jpg,1589,ヴェラ,SSR,13,遠,"17,473","6,094","4,658",S-,"28,225",遠翠の聖護,味方遠属性の防御力をUP[大],-,　,リヴァイブ／真遠翠,高確率で遠属性のユニットを復帰,-,　,-,-
1591.jpg,1591,ヴィクトリア,SSR,13,斬,"17,118","7,875","4,682",A+,"29,675",地焔幻の一閃／絶,横一列攻撃[大]自分の防御力UP[大],-,　,カーズ,対戦騎士団全体のスキル発動率が小DOWN(3分間),-,　,-,-
1593.jpg,1593,スレヴィ,UR,14,突,"17,849","6,101","7,437",SS+,"31,387",蒼突の神威,味方突属性の攻撃力をUP[特大],-,　,ストリーム／真,パーティ全体の攻撃力・速度が中UP(3分間),-,　,-,-
1595.jpg,1595,マノン,UR,14,打,"23,079","6,595","8,551",A+,"38,225",対翠の交叉線／煌,遠に強く打に弱いX字型攻撃[特大],-,　,フォートレス／絶,パーティ全体の防御力が大UP(3分間),-,　,-,-
1597.jpg,1597,ゲオルグ,SSR,13,遠,"16,753","5,840","5,380",S-,"27,973",光芒の叡智,味方全体の攻撃力と防御力をUP[中],-,　,キャッスルヴェール,城の強度Lvが小UP(3分間),-,　,-,-
1599.jpg,1599,マクシム,UR,14,遠,"19,292","6,733","5,752",S+,"31,777",光芒の聖天,味方全体の攻撃力と防御力をUP[大],-,　,アサルト／絶,パーティ全体の攻撃力が大UP(3分間),-,　,-,-
1602.jpg,1602,ルミナス,UR,14,斬,"17,921","8,240","5,797",S,"31,958",斬紅の神護,味方斬属性の防御力をUP[特大],-,　,ポイントライズ／絶,獲得する騎士団戦スコアが大アップ(バトル3回),-,　,-,-
1604.jpg,1604,シャルロ,SSR,12,斬,"14,352","6,600","5,347",A+,"26,299",対紫の突風／絶,打に強く遠に弱い縦一列攻撃[大],-,　,エッジノート／真,CB時に獲得ポイント中UP＆BPが中回復(3回),-,　,-,-
1605.jpg,1605,シャルロ,SSR,13,斬,"15,632","7,188","5,670",A+,"28,490",対紫の突風／絶,打に強く遠に弱い縦一列攻撃[大],-,　,エッジノート／真,CB時に獲得ポイント中UP＆BPが中回復(3回),-,　,-,-
1606.jpg,1606,シャルロ,UR,14,斬,"16,504","7,590","6,977",S,"31,071",対紫の突風／煌,打に強く遠に弱い縦一列攻撃[特大],-,　,エッジノート／絶,CB時に獲得ポイント大UP＆BPが大回復(3回),-,　,-,-
1608.jpg,1608,メビウス,UR,14,斬,"17,646","8,113","6,197",S,"31,956",斬紅の神威,味方斬属性の攻撃力をUP[特大],-,　,シャドウ／真,バトル時の強襲CB率が中UP(3分間),-,　,-,-
1610.jpg,1610,シグマ,UR,14,突,"18,971","5,977","6,569",SS3,"31,517",対紫の薙風／煌,打に強く遠に弱い横一列攻撃[特大],-,　,ランページ／絶,バトルで獲得する騎士団戦スコアが大アップ(3分間),-,　,-,-
1612.jpg,1612,ノーラン,SSR,13,打,"18,998","6,213","6,784",A-,"31,995",地幻光の交叉線／絶,X字型攻撃[大]自分の防御力UP[大],-,　,ポイントライズ／真,獲得する騎士団戦スコアが中アップ(バトル3回),-,　,-,-
1614.jpg,1614,ジャンヌ,SSR,13,遠,"18,813","6,566","4,325",S-,"29,704",天魔幻の閃光／絶,縦一列攻撃[大]自分の攻撃力UP[大],-,　,エースオーダー,騎士団全体の攻・防が小UP(3分間),-,　,-,-
1615.jpg,1615,ディミトリ,SSR,13,突,"16,379","5,646","6,204",SS-,"28,229",強奪者の雷／絶,単体攻撃（宝箱優先／追加ダメージ）[大],-,　,フォートレス／真,パーティ全体の防御力が中UP(3分間),-,　,-,-
1617.jpg,1617,スイ,UR,14,斬,"16,877","7,824","6,753",S,"31,454",地焔幻の一閃／煌,横一列攻撃[特大]自分の防御力UP[特大],-,　,カーズ／真,対戦騎士団全体のスキル発動率が中DOWN(3分間),-,　,-,-
1619.jpg,1619,マリエル,UR,14,斬,"16,183","7,437","7,116",S,"30,736",魔幻の閃光／煌,縦一列に攻撃[特大],-,　,エースオーダー／真,騎士団全体の攻・防が中UP(3分間),-,　,-,-
1621.jpg,1621,ガルム,UR,14,突,"18,512","6,331","7,176",SS+,"32,019",神威消滅／光芒,敵全体の攻撃力をDOWN[特大],-,　,ストリーム／真,パーティ全体の攻撃力・速度が中UP(3分間),-,　,-,-
1621_a.jpg,1621_a,ガルム,UR,14,突,"24,056","7,906","9,696",SS4,"41,658",神威消滅／光芒＋,敵全体の攻撃力をDOWN[極大],-,　,ストリーム／真,パーティ全体の攻撃力・速度が中UP(3分間),-,　,-,-
1621_b.jpg,1621_b,ガルム,UR,14,突,"22,208","7,591","8,604",SS4,"38,403",神威消滅／光芒,敵全体の攻撃力をDOWN[特大],-,　,記憶紡ぐ夏夕,パーティ全体の攻撃力極大UP・速度が中UP(4分間),-,　,-,-
1625.jpg,1625,ラウジー,SSR,13,打,"17,961","6,580","6,416",A-,"30,957",打鋭の五連月,ランダムで2～5連撃。攻撃毎に与ダメ2倍[低確率],-,　,アサルト／真,パーティ全体の攻撃力が中UP(3分間),-,　,-,-
1627.jpg,1627,ロザリー,SSR,13,遠,"16,457","6,586","4,953",S-,"27,996",治癒の一撃／真,単体固定ダメージ[中]+味方状態異常解除,-,　,エッジノート／真,CB時に獲得ポイント中UP＆BPが中回復(3回),-,　,-,-
1629.jpg,1629,ラビ,SSR,13,斬,"14,922","7,885","5,374",A+,"28,181",対翠の薙風／絶,遠に強く打に弱い横一列攻撃[大],-,　,ステルス／真,強襲CBの発生確率・強襲時獲得ポイント中UP(3回),-,　,-,-
1631.jpg,1631,ミルーレ,SSR,13,突,"19,488","5,798","5,243",SS-,"30,529",蒼突の聖天,味方突属性の攻撃力と防御力をUP[大],-,　,ジャガーノート／真,バトルで敵を全滅するとBPが中回復(バトル3回),-,　,-,-
1633.jpg,1633,バンジャン,UR,14,打,"23,204","6,631","8,508",A+,"38,343",焔幻の一閃／煌,横一列に攻撃[特大],-,　,カウンター／絶,迎撃時にパーティ全体の攻・防が大UP(3分間),-,　,-,-
1635.jpg,1635,アリーナ,UR,14,遠,"18,437","6,435","6,345",S+,"31,217",天使の微笑／絶,味方全員のHPを回復[大],-,　,ポイントライズ／絶,獲得する騎士団戦スコアが大アップ(バトル3回),-,　,-,-
1639.jpg,1639,ジョーヌ,SSR,13,遠,"17,094","6,310","4,483",SS-,"27,887",破界の包囲陣／絶,敵全体に固定ダメージ[大],-,　,アクセラレーター／真,パーティ全体の速度が中UP(3分間),-,　,-,-
1642.jpg,1642,クロード,SSR,13,突,"17,495","5,509","5,476",SS1,"28,480",破天の五連撃,ランダムで5連固定ダメージ[小],-,　,ハイド／真,攻撃される確率が中DOWN(3分間),-,　,-,-
1643.jpg,1643,アーデルハイド,UR,14,突,"18,374","6,280","7,231",SS+,"31,885",解除の一撃／絶,単体固定ダメージ[大]+敵ステータスUP解除,-,　,フォートレスオーダー／真,騎士団全体の防御力が中UP(3分間),-,　,-,-
1644.jpg,1644,レオン,UR,14,斬,"18,658","7,468","6,414",S,"32,540",地魔幻の閃光／煌,縦一列攻撃[特大]自分の防御力UP[特大],-,　,シャドウオーダー,騎士団全体の強襲CB率が小UP(3分間),-,　,-,-
1644_a.jpg,1644_a,レオン,UR,14,斬,"24,265","9,337","8,661",SS+,"42,263",地魔幻の閃光／煌＋,縦一列攻撃[極大]自分の防御力UP[特大],-,　,シャドウオーダー,騎士団全体の強襲CB率が小UP(3分間),-,　,-,-
1644_b.jpg,1644_b,レオン,UR,14,斬,"22,396","8,959","7,695",SS+,"39,050",地魔幻の閃光／煌,縦一列攻撃[特大]自分の防御力UP[特大],-,　,騎士と父の顔,騎士団全体の強襲率が大UP(3分間),-,　,-,-
1647.jpg,1647,ドロシー,SSR,13,突,"17,979","4,658","6,531",SS-,"29,168",加護消滅／光芒,敵全体の防御力をDOWN[中],-,　,キャッスルヴェール,城の強度Lvが小UP(3分間),-,　,-,-
1649.jpg,1649,ロラン,UR,14,斬,"17,738","8,156","6,164",S,"32,058",斬紅の神護,味方斬属性の防御力をUP[特大],-,　,ポイントライズ／絶,獲得する騎士団戦スコアが大アップ(バトル3回),-,　,-,-
1651.jpg,1651,ファイザ,SSR,13,突,"18,875","5,639","5,407",SS-,"29,921",天幻神の四連撃／真,ランダム4連続攻撃[中]自分の攻撃力UP[中],-,　,ステルス／真,強襲CBの発生確率・強襲時獲得ポイント中UP(3回),-,　,-,-
1653.jpg,1653,ユルシュ,SSR,13,打,"17,843","6,613","6,376",A-,"30,832",挑発の舞踏／真,一定確率で敵の攻撃を引き付ける[高確率],-,　,バーサク,強襲が発生無効、バトル時に攻・防小UP(3分間),-,　,-,-
1655.jpg,1655,ゼナイド,UR,14,遠,"19,605","6,842","5,663",S+,"32,110",焔幻の一閃／煌,横一列に攻撃[特大],-,　,ジャガーノート／絶,バトルで敵を全滅するとBPが大回復(バトル3回),-,　,-,-
1656.jpg,1656,ユリーカ,SSR,13,遠,"16,460","6,593","4,957",S-,"28,010",対紅の突風／絶,斬に強く突に弱い縦一列攻撃[大],-,　,オラクル／真,パーティ全体のスキル発動率が中UP(3分間),-,　,-,-
1657.jpg,1657,ギルバード,UR,14,打,"21,236","6,995","8,222",A+,"36,453",神威消滅／遠翠,敵遠属性の攻撃力をDOWN[特大],-,　,キャッスルヴェール／真,城の強度Lvが中UP(3分間),-,　,-,-
1658.jpg,1658,ヴェロニク,UR,14,突,"18,250","6,393","6,812",SS+,"31,455",幻神の六連撃／真,ランダムで6連続攻撃[中],-,　,カーズ／真,対戦騎士団全体のスキル発動率が中DOWN(3分間),-,　,-,-
1659.jpg,1659,イヴリス,UR,14,斬,"19,984","7,796","5,769",S,"33,549",猛毒の言霊／煌,一定確率で敵を毒状態にする[超高確率],-,　,アサルト／絶,パーティ全体の攻撃力が大UP(3分間),-,　,-,-
1662.jpg,1662,大神一郎,SSR,13,斬,"14,813","6,815","5,986",A+,"27,614",狼虎滅却 天地神明,X字型攻撃[大]自分の防御力UP[大],-,　,フォースオブウィッシュ／真,騎士団全員のBPを中回復,-,　,-,-
1664.jpg,1664,真宮寺さくら,UR,14,斬,"16,418","8,671","6,349",S,"31,438",破邪剣征 桜花天昇,縦一列に攻撃[特大],-,　,フォートレスオーダー／真,騎士団全体の防御力が中UP(3分間),-,　,-,-
1666.jpg,1666,ｴﾘｶ･ﾌｫﾝﾃｨｰﾇ,UR,14,遠,"19,707","6,878","5,633",S+,"32,218",グラース・オ・スィエル,味方全員のHPを回復[大],-,　,ランページ／絶,バトルで獲得する騎士団戦スコアが大アップ(3分間),-,　,-,-
1668.jpg,1668,コリーヌ,SSR,13,斬,"14,997","6,893","5,916",A+,"27,806",斬紅の聖天,味方斬属性の攻撃力と防御力をUP[大],-,　,オラクル／真,パーティ全体のスキル発動率が中UP(3分間),-,　,-,-
1670.jpg,1670,フレーゲル,UR,14,突,"21,214","6,314","6,262",SS+,"33,790",蒼突の神護,味方突属性の防御力をUP[特大],-,　,アクセラレーター／絶,パーティ全体の速度が大UP(3分間),-,　,-,-
1670_a.jpg,1670_a,フレーゲル,UR,14,突,28648,7763,10651,SS4,"47,062",蒼突の神護＋,味方突属性の防御力をUP[超極大],-,　,アクセラレーター／絶,パーティ全体の速度が大UP(3分間),-,　,-,-
1670_b.jpg,1670_b,フレーゲル,UR,14,突,26527,7448,10021,SS4,"43,996",蒼突の神護,味方突属性の防御力をUP[特大],-,　,覚醒の血脈,パーティ全体の速度が大UP(5分間),-,　,-,-
1672.jpg,1672,トト,SSR,13,打,"18,554","5,730","6,625",S-,"30,909",対紅の突風／絶,斬に強く突に弱い縦一列攻撃[大],-,　,キャッスルウィークネス,対戦騎士団の城強度Lvが小DOWN(3分間),-,　,-,-
1674.jpg,1674,ナタン,UR,14,遠,"18,735","6,919","5,299",SS+,"30,953",対紫の薙風／煌,打に強く遠に弱い横一列攻撃[特大],-,　,ストリーム／真,パーティ全体の攻撃力・速度が中UP(3分間),-,　,-,-
1676.jpg,1676,オディロン,UR,14,打,"21,395","6,121","9,711",A+,"37,227",対紫の突風／煌,打に強く遠に弱い縦一列攻撃[特大],-,　,アサルトオーダー／真,騎士団全体の攻撃力が中UP(3分間),-,　,-,-
1678.jpg,1678,ヴァルナル,SSR,13,斬,"14,998","7,295","5,019",S+,"27,312",覇道消滅／蒼突,敵突属性の攻撃力をDOWN[大],-,　,フォートレス／真,パーティ全体の防御力が中UP(3分間),-,　,-,-
1679.jpg,1679,エイラ,SSR,13,斬,"15,717","7,647","4,788",S+,"28,152",対蒼の突風／絶,突に強く斬に弱い縦一列攻撃[大],-,　,エッジノート／真,CB時に獲得ポイント中UP＆BPが中回復(3回),-,　,-,-
1681.jpg,1681,バルカス,SSR,12,打,"17,758","5,611","6,507",A-,"29,876",天幻光の交叉線／絶,X字型攻撃[大]自分の攻撃力UP[大],-,　,ランページ／真,バトルで獲得する騎士団戦スコアが中アップ(3分間),-,　,-,-
1682.jpg,1682,バルカス,SSR,13,打,"19,978","6,635","7,216",A-,"33,829",天幻光の交叉線／絶,X字型攻撃[大]自分の攻撃力UP[大],-,　,ランページ／真,バトルで獲得する騎士団戦スコアが中アップ(3分間),-,　,-,-
1683.jpg,1683,バルカス,UR,14,打,"22,055","7,428","8,004",A+,"37,487",天幻光の交叉線／煌,X字型攻撃[特大]自分の攻撃力UP[特大],-,　,ランページ／絶,バトルで獲得する騎士団戦スコアが大アップ(3分間),-,　,-,-
1684.jpg,1684,ヴェール,SSR,13,突,"19,061","5,673","5,392",SS-,"30,126",魔幻の閃光／絶,縦一列に攻撃[大],-,　,フォートレスオーダー,騎士団全体の防御力が小UP(3分間),-,　,-,-
1685.jpg,1685,ノエル,UR,14,斬,"18,958","7,588","6,314",S,"32,860",天焔幻の一閃／煌,横一列攻撃[特大]自分の攻撃力UP[特大],-,　,メナス／真,対戦騎士団全体の防御力が中DOWN(3分間),-,　,-,-
1686.jpg,1686,カノン,UR,14,打,"26,139","6,335","7,961",A+,"40,435",地幻光の交叉線／煌,X字型攻撃[特大]自分の防御力UP[特大],-,　,フォートレスオーダー／真,騎士団全体の防御力が中UP(3分間),-,　,-,-
1688.jpg,1688,ケルヴィン,UR,14,斬,"17,241","7,922","6,328",S,"31,491",幻氷の縦十字／煌,十字型に攻撃[特大],-,　,キャッスルヴェール／真,城の強度Lvが中UP(3分間),-,　,-,-
1690.jpg,1690,カルディナ,UR,14,突,"20,385","6,268","6,842",SS+,"33,495",地幻神の五連撃／真,ランダム5連続攻撃[中]自分の防御力UP[中],-,　,アサルト／絶,パーティ全体の攻撃力が大UP(3分間),-,　,-,-
